L,d,method,variant,mean_ms,std_ms,device_name,cuda_version,torch_version
64,32,cpu_baseline,,0.029111604671925306,0.000857009113344733,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
64,32,gpu_naive,,0.027367040067911148,0.004120925545765631,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
64,32,gpu_tiled,,0.025872640013694763,0.0008331127858803253,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
64,32,gpu_fused_softmax_pv,,0.02329280011355877,0.0006454250258488015,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
64,32,gpu_official_pytorch,sdpa_default,0.055175039917230606,0.0011847833567600748,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
128,32,cpu_baseline,,0.03588344668969512,0.0012263136373630512,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
128,32,gpu_naive,,0.03460159994661808,0.00239838900265891,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
128,32,gpu_tiled,,0.025475840233266354,0.001249093004489457,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
128,32,gpu_fused_softmax_pv,,0.02320256009697914,0.0006923203423739382,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
128,32,gpu_official_pytorch,sdpa_default,0.0549728000164032,0.0009789123289869106,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
256,32,cpu_baseline,,0.060418122448027134,0.0007951477366812952,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
256,32,gpu_naive,,0.08255679979920387,0.0007180063621530916,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
256,32,gpu_tiled,,0.03582400038838387,0.0007499819521295808,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
256,32,gpu_fused_softmax_pv,,0.04449471995234489,0.005306183229765402,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
256,32,gpu_official_pytorch,sdpa_default,0.073109120875597,0.005138560074209059,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
512,32,cpu_baseline,,0.11403790675103664,0.0022017372848007178,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
512,32,gpu_naive,,0.2609036833047867,0.00245633719691399,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
512,32,gpu_tiled,,0.08616127967834472,0.003557031492448193,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
512,32,gpu_fused_softmax_pv,,0.1341523200273514,0.00311851408554438,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
512,32,gpu_official_pytorch,eager_gemm_softmax,0.0890617598593235,0.009300500779465289,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
1024,32,cpu_baseline,,0.4876817623153329,0.15539596921640994,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
1024,32,gpu_naive,,0.9705804824829102,0.0009373078359650225,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
1024,32,gpu_tiled,,0.2777676808834076,0.0006791716878734922,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
1024,32,gpu_fused_softmax_pv,,0.5209209668636322,0.0007372821974061854,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
1024,32,gpu_official_pytorch,eager_gemm_softmax,0.11776704058051109,0.0023916424941459588,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
64,64,cpu_baseline,,0.028983508236706257,0.0009438127689106615,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
64,64,gpu_naive,,0.026888319961726664,0.0027778491036272255,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
64,64,gpu_tiled,,0.026242559924721718,0.0008313556673511011,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
64,64,gpu_fused_softmax_pv,,0.023215360082685946,0.0007822476176413243,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
64,64,gpu_official_pytorch,sdpa_default,0.05707839995622635,0.008716509222468529,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
128,64,cpu_baseline,,0.03761852625757456,0.0018234320167374723,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
128,64,gpu_naive,,0.048282880261540415,0.0008524828913376883,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
128,64,gpu_tiled,,0.026169599927961827,0.0006255652153423767,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
128,64,gpu_fused_softmax_pv,,0.024211840145289897,0.000639580524680024,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
128,64,gpu_official_pytorch,sdpa_default,0.05770560026168823,0.0007902705125145926,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
256,64,cpu_baseline,,0.06929886993020773,0.002593437996377358,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
256,64,gpu_naive,,0.1286764807999134,0.014865875147677688,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
256,64,gpu_tiled,,0.039930239841341975,0.0005513922005946743,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
256,64,gpu_fused_softmax_pv,,0.044279040023684504,0.0006725799551616836,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
256,64,gpu_official_pytorch,sdpa_default,0.06957312062382698,0.006864499031846088,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
512,64,cpu_baseline,,0.1506487443111837,0.0012500356718009246,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
512,64,gpu_naive,,0.37118015587329867,0.0012582950962746044,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
512,64,gpu_tiled,,0.10690495952963829,0.0012880911008352413,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
512,64,gpu_fused_softmax_pv,,0.14107904076576233,0.00407418645559849,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
512,64,gpu_official_pytorch,eager_gemm_softmax,0.08436607956886291,0.00589426906803703,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
1024,64,cpu_baseline,,0.6861016200855374,0.27490022408168946,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
1024,64,gpu_naive,,1.433144316673279,0.006625833833619748,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
1024,64,gpu_tiled,,0.37761344134807584,0.000871340145554745,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
1024,64,gpu_fused_softmax_pv,,0.5401279997825622,0.0009231111180217983,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
1024,64,gpu_official_pytorch,eager_gemm_softmax,0.12217087954282761,0.0009673190861122252,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
64,128,cpu_baseline,,0.031805632170289755,0.0006355153556149101,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
64,128,gpu_naive,,0.0270041598752141,0.0015583395493657113,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
64,128,gpu_tiled,,0.025942399986088275,0.00074077747831576,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
64,128,gpu_fused_softmax_pv,,0.023189760036766528,0.0007844750757051502,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
64,128,gpu_official_pytorch,sdpa_default,0.05471231989562511,0.0011581980407776864,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
128,128,cpu_baseline,,0.04491445841267705,0.0009492278315783985,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
128,128,gpu_naive,,0.061239679604768754,0.0005906681888400052,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
128,128,gpu_tiled,,0.026675839871168137,0.0004336862128370157,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
128,128,gpu_fused_softmax_pv,,0.02490240041166544,0.0005568733627348482,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
128,128,gpu_official_pytorch,sdpa_default,0.05519488014280796,0.001210486411509025,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
256,128,cpu_baseline,,0.09473415557295084,0.002492536192980046,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
256,128,gpu_naive,,0.19901055783033372,0.0005974615562940424,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
256,128,gpu_tiled,,0.06030912026762962,0.0007768450254034552,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
256,128,gpu_fused_softmax_pv,,0.06069504022598267,0.000608876689169642,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
256,128,gpu_official_pytorch,sdpa_default,0.06211391977965832,0.005503718630091569,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
512,128,cpu_baseline,,0.24494407000020146,0.019612987441836014,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
512,128,gpu_naive,,0.7168716681003571,0.0010062182048759182,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
512,128,gpu_tiled,,0.18755200028419494,0.0006467803370408409,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
512,128,gpu_fused_softmax_pv,,0.19891327887773513,0.0012967689443007815,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
512,128,gpu_official_pytorch,eager_gemm_softmax,0.08296959996223449,0.00139048002615432,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
1024,128,cpu_baseline,,1.0953487106598914,0.04087986426197757,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
1024,128,gpu_naive,,2.800085129737854,0.006698285847707662,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
1024,128,gpu_tiled,,0.6915712022781372,0.0013233469302740954,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
1024,128,gpu_fused_softmax_pv,,0.7587494373321533,0.005923694305698247,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
1024,128,gpu_official_pytorch,eager_gemm_softmax,0.17098495960235596,0.0022084183518494885,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
64,256,cpu_baseline,,0.03705372102558613,0.0010844473122695105,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
64,256,gpu_naive,,0.039052159786224366,0.0038396745402423946,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
64,256,gpu_tiled,,0.026016639955341817,0.0007991417605497459,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
64,256,gpu_fused_softmax_pv,,0.022876800075173377,0.0007285397077107687,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
64,256,gpu_official_pytorch,sdpa_default,0.055399680063128474,0.0011610589965651366,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
128,256,cpu_baseline,,0.05416313651949167,0.001494081810115588,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
128,256,gpu_naive,,0.10640575930476188,0.0005982438363660187,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
128,256,gpu_tiled,,0.03776192009449005,0.0005353245112909668,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
128,256,gpu_fused_softmax_pv,,0.0362777604162693,0.0005554908874968761,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
128,256,gpu_official_pytorch,sdpa_default,0.06149760067462921,0.008329875036697883,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
256,256,cpu_baseline,,0.15133734792470932,0.08354917581490087,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
256,256,gpu_naive,,0.378238719701767,0.0006072881047472035,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
256,256,gpu_tiled,,0.1043244780600071,0.005295252855816679,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
256,256,gpu_fused_softmax_pv,,0.10621375977993011,0.0022295411598497474,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
256,256,gpu_official_pytorch,eager_gemm_softmax,0.08721279963850975,0.01111958695707021,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
512,256,cpu_baseline,,0.41568073676899076,0.08072332012479913,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
512,256,gpu_naive,,1.4037004899978638,0.007119105044053102,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
512,256,gpu_tiled,,0.3493401610851288,0.003932540869950575,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
512,256,gpu_fused_softmax_pv,,0.3905459207296371,0.0046688883270176625,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
512,256,gpu_official_pytorch,eager_gemm_softmax,0.09263296097517014,0.0011360012492727368,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
1024,256,cpu_baseline,,3.3233147370629013,0.16305831850991598,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
1024,256,gpu_naive,,5.515317764282226,0.005083275364145812,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
1024,256,gpu_tiled,,1.3159334468841553,0.0013195272325919583,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
1024,256,gpu_fused_softmax_pv,,1.5698003268241882,0.01000042206879525,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
1024,256,gpu_official_pytorch,eager_gemm_softmax,0.24310335993766785,0.0028542364585034275,NVIDIA GeForce RTX 2060 SUPER,12.8,2.10.0+cu128
